City,State,Postal Code,Region
Henderson,Kentucky,42420.0,South
Los Angeles,California,90036.0,West
Fort Lauderdale,Florida,33311.0,South
Los Angeles,California,90032.0,West
Concord,North Carolina,28027.0,South
Seattle,Washington,98103.0,West
Fort Worth,Texas,76106.0,Central
Madison,Wisconsin,53711.0,Central
West Jordan,Utah,84084.0,West
San Francisco,California,94109.0,West
Fremont,Nebraska,68025.0,Central
Philadelphia,Pennsylvania,19140.0,East
Orem,Utah,84057.0,West
Los Angeles,California,90049.0,West
Houston,Texas,77095.0,Central
Richardson,Texas,75080.0,Central
Houston,Texas,77041.0,Central
Naperville,Illinois,60540.0,Central
Melbourne,Florida,32935.0,South
Eagan,Minnesota,55122.0,Central
Westland,Michigan,48185.0,Central
Dover,Delaware,19901.0,East
New Albany,Indiana,47150.0,Central
New York City,New York,10024.0,East
Troy,New York,12180.0,East
Los Angeles,California,90004.0,West
Chicago,Illinois,60610.0,Central
Gilbert,Arizona,85234.0,West
Springfield,Virginia,22153.0,South
New York City,New York,10009.0,East
Jackson,Michigan,49201.0,Central
Memphis,Tennessee,38109.0,South
Houston,Texas,77070.0,Central
Decatur,Alabama,35601.0,South
San Francisco,California,94122.0,West
Durham,North Carolina,27707.0,South
Chicago,Illinois,60623.0,Central
Columbia,South Carolina,29203.0,South
Rochester,Minnesota,55901.0,Central
Minneapolis,Minnesota,55407.0,Central
Portland,Oregon,97206.0,West
Saint Paul,Minnesota,55106.0,Central
Aurora,Colorado,80013.0,West
Charlotte,North Carolina,28205.0,South
Orland Park,Illinois,60462.0,Central
New York City,New York,10035.0,East
Urbandale,Iowa,50322.0,Central
Columbus,Ohio,43229.0,East
Bristol,Tennessee,37620.0,South
Wilmington,Delaware,19805.0,East
Bloomington,Illinois,61701.0,Central
Phoenix,Arizona,85023.0,West
Roseville,California,95661.0,West
Independence,Missouri,64055.0,Central
Pasadena,California,91104.0,West
Newark,Ohio,43055.0,East
Franklin,Wisconsin,53132.0,Central
Scottsdale,Arizona,85254.0,West
San Jose,California,95123.0,West
Seattle,Washington,98105.0,West
Seattle,Washington,98115.0,West
Edmond,Oklahoma,73034.0,Central
Los Angeles,California,90045.0,West
Philadelphia,Pennsylvania,19134.0,East
Carlsbad,New Mexico,88220.0,West
San Antonio,Texas,78207.0,Central
Houston,Texas,77036.0,Central
Decatur,Illinois,62521.0,Central
Monroe,Louisiana,71203.0,South
Fairfield,Connecticut,6824.0,East
Grand Prairie,Texas,75051.0,Central
Redlands,California,92374.0,West
Hamilton,Ohio,45011.0,East
Westfield,New Jersey,7090.0,East
Philadelphia,Pennsylvania,19120.0,East
Akron,Ohio,44312.0,East
Denver,Colorado,80219.0,West
Dallas,Texas,75220.0,Central
Franklin,Tennessee,37064.0,South
Whittier,California,90604.0,West
Saginaw,Michigan,48601.0,Central
Medina,Ohio,44256.0,East
Dublin,Ohio,43017.0,East
Detroit,Michigan,48227.0,Central
Columbia,Tennessee,38401.0,South
Tampa,Florida,33614.0,South
Santa Clara,California,95051.0,West
Lakeville,Minnesota,55044.0,Central
San Diego,California,92037.0,West
Pasadena,Texas,77506.0,Central
Brentwood,California,94513.0,West
Chapel Hill,North Carolina,27514.0,South
Morristown,New Jersey,7960.0,East
Cincinnati,Ohio,45231.0,East
San Francisco,California,94110.0,West
Inglewood,California,90301.0,West
Tamarac,Florida,33319.0,South
Colorado Springs,Colorado,80906.0,West
Belleville,New Jersey,7109.0,East
Taylor,Michigan,48180.0,Central
Lakewood,New Jersey,8701.0,East
Arlington,Virginia,22204.0,South
Arvada,Colorado,80004.0,West
Hackensack,New Jersey,7601.0,East
Saint Petersburg,Florida,33710.0,South
Philadelphia,Pennsylvania,19143.0,East
Long Beach,California,90805.0,West
Hesperia,California,92345.0,West
Murfreesboro,Tennessee,37130.0,South
Layton,Utah,84041.0,West
Austin,Texas,78745.0,Central
Lowell,Massachusetts,1852.0,East
Columbus,Georgia,31907.0,South
