Order Date,Ship Date,Ship Mode,Customer ID,Postal Code,Product ID,Sales
08/11/2017,11/11/2017,Second Class,CG-12520,42420.0,FUR-BO-10001798,261.96
08/11/2017,11/11/2017,Second Class,CG-12520,42420.0,FUR-CH-10000454,731.94
12/06/2017,16/06/2017,Second Class,DV-13045,90036.0,OFF-LA-10000240,14.62
11/10/2016,18/10/2016,Standard Class,SO-20335,33311.0,FUR-TA-10000577,957.5775
11/10/2016,18/10/2016,Standard Class,SO-20335,33311.0,OFF-ST-10000760,22.368
09/06/2015,14/06/2015,Standard Class,BH-11710,90032.0,FUR-FU-10001487,48.86
09/06/2015,14/06/2015,Standard Class,BH-11710,90032.0,OFF-AR-10002833,7.28
09/06/2015,14/06/2015,Standard Class,BH-11710,90032.0,TEC-PH-10002275,907.152
09/06/2015,14/06/2015,Standard Class,BH-11710,90032.0,OFF-BI-10003910,18.504
09/06/2015,14/06/2015,Standard Class,BH-11710,90032.0,OFF-AP-10002892,114.9
09/06/2015,14/06/2015,Standard Class,BH-11710,90032.0,FUR-TA-10001539,1706.184
09/06/2015,14/06/2015,Standard Class,BH-11710,90032.0,TEC-PH-10002033,911.424
15/04/2018,20/04/2018,Standard Class,AA-10480,28027.0,OFF-PA-10002365,15.552
05/12/2017,10/12/2017,Standard Class,IM-15070,98103.0,OFF-BI-10003656,407.976
22/11/2016,26/11/2016,Standard Class,HP-14815,76106.0,OFF-AP-10002311,68.81
22/11/2016,26/11/2016,Standard Class,HP-14815,76106.0,OFF-BI-10000756,2.544
11/11/2015,18/11/2015,Standard Class,PK-19075,53711.0,OFF-ST-10004186,665.88
13/05/2015,15/05/2015,Second Class,AG-10270,84084.0,OFF-ST-10000107,55.5
27/08/2015,01/09/2015,Second Class,ZD-21925,94109.0,OFF-AR-10003056,8.56
27/08/2015,01/09/2015,Second Class,ZD-21925,94109.0,TEC-PH-10001949,213.48
27/08/2015,01/09/2015,Second Class,ZD-21925,94109.0,OFF-BI-10002215,22.72
09/12/2017,13/12/2017,Standard Class,KB-16585,68025.0,OFF-AR-10000246,19.46
09/12/2017,13/12/2017,Standard Class,KB-16585,68025.0,OFF-AP-10001492,60.34
16/07/2018,18/07/2018,Second Class,SF-20065,19140.0,FUR-CH-10002774,71.372
25/09/2016,30/09/2016,Standard Class,EB-13870,84057.0,FUR-TA-10000577,1044.63
16/01/2017,20/01/2017,Second Class,EH-13945,90049.0,OFF-BI-10001634,11.648
16/01/2017,20/01/2017,Second Class,EH-13945,90049.0,TEC-AC-10003027,90.57
17/09/2016,21/09/2016,Standard Class,TB-21520,19140.0,FUR-BO-10004834,3083.43
17/09/2016,21/09/2016,Standard Class,TB-21520,19140.0,OFF-BI-10000474,9.618
17/09/2016,21/09/2016,Standard Class,TB-21520,19140.0,FUR-FU-10004848,124.2
17/09/2016,21/09/2016,Standard Class,TB-21520,19140.0,OFF-EN-10001509,3.264
17/09/2016,21/09/2016,Standard Class,TB-21520,19140.0,OFF-AR-10004042,86.304
17/09/2016,21/09/2016,Standard Class,TB-21520,19140.0,OFF-BI-10001525,6.858
17/09/2016,21/09/2016,Standard Class,TB-21520,19140.0,OFF-AR-10001683,15.76
19/10/2018,23/10/2018,Second Class,MA-17560,77095.0,OFF-PA-10000249,29.472
08/12/2017,10/12/2017,First Class,GH-14485,75080.0,TEC-PH-10004977,1097.544
08/12/2017,10/12/2017,First Class,GH-14485,75080.0,FUR-FU-10003664,190.92
